,date,dcoilwtico,gradient_3,gradient_4,gradient_5,gradient_6,gradient_7,gradient_8,gradient_9,gradient_10
1,2013-01-02,93.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2013-01-03,92.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2013-01-04,93.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2013-01-05,93.14666666666668,-0.004999999999999005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2013-01-06,93.17333333333333,0.04416666666666913,-0.008124999999998828,0.0,0.0,0.0,0.0,0.0,0.0
6,2013-01-07,93.2,0.013333333333331865,0.03645833333333304,-0.0038333333333341103,0.0,0.0,0.0,0.0,0.0
7,2013-01-08,93.21,0.013333333333331865,0.013333333333333641,0.03183333333333423,-0.0009722222222219301,0.0,0.0,0.0,0.0
8,2013-01-09,93.08,0.009166666666665435,0.010208333333330266,0.010833333333332007,0.0266666666666661,-0.0007142857142865873,0.0,0.0,0.0
9,2013-01-10,93.81,-0.030000000000001137,-0.018124999999999503,-0.01183333333333465,-0.0076388888888890465,0.008571428571428896,-0.013125000000000053,0.0,0.0
10,2013-01-11,93.6,0.15000000000000213,0.12249999999999961,0.10150000000000077,0.08680555555555476,0.07630952380952394,0.08000000000000052,0.05277777777777794,0.0
11,2013-01-12,93.82333333333332,0.129999999999999,0.027499999999999858,0.029999999999998295,0.027916666666666146,0.02583333333333166,0.024270833333332575,0.03333333333333302,0.013499999999999446
12,2013-01-13,94.04666666666667,0.0033333333333303017,0.15249999999999897,0.06599999999999966,0.06166666666666506,0.05535714285714225,0.05010416666666506,0.046018518518517716,0.0519999999999996
13,2013-01-14,94.27,0.11166666666666814,0.030416666666666536,0.14433333333333423,0.07361111111111225,0.06880952380952365,0.06239583333333387,0.05694444444444397,0.05258333333333347
14,2013-01-15,93.26,0.11166666666666814,0.11166666666666636,0.046666666666665434,0.1388888888888887,0.07904761904761923,0.07416666666666583,0.06787037037037022,0.06241666666666568
15,2013-01-16,94.28,-0.19666666666666544,-0.11958333333333027,-0.073333333333332,-0.09666666666666639,0.0028571428571438112,-0.03249999999999886,-0.024444444444444317,-0.020249999999999345
16,2013-01-17,95.49,0.002500000000001279,0.10687499999999961,0.10783333333333474,0.10847222222222246,0.06249999999999949,0.12968750000000018,0.0841666666666671,0.07974999999999959
17,2013-01-18,95.61,0.5574999999999974,0.16500000000000004,0.21599999999999894,0.19861111111111165,0.18619047619047585,0.1362499999999991,0.18777777777777752,0.14100000000000001
18,2013-01-19,95.73,0.3324999999999996,0.3649999999999993,0.08950000000000102,0.14458333333333329,0.13988095238095358,0.136354166666667,0.09749999999999975,0.14775000000000027
19,2013-01-20,95.85,0.060000000000002274,0.26437500000000025,0.30399999999999994,0.08458333333333456,0.13250000000000028,0.12989583333333465,0.1278703703703709,0.09375
20,2013-01-21,95.97,0.05999999999999872,0.05999999999999961,0.22349999999999853,0.26333333333333186,0.08107142857142843,0.1234374999999992,0.12212962962962987,0.12108333333333299
21,2013-01-22,96.09,0.05999999999999872,0.0600000000000005,0.06000000000000085,0.19624999999999973,0.23428571428571385,0.0784375000000006,0.11638888888888882,0.11591666666666747
22,2013-01-23,95.06,0.060000000000002274,0.05999999999999961,0.06000000000000085,0.06000000000000109,0.17678571428571438,0.2124999999999999,0.07638888888888967,0.11075000000000017
23,2013-01-24,95.35,-0.22749999999999915,-0.1556249999999988,-0.11250000000000071,-0.08374999999999962,-0.06321428571428507,0.05437499999999984,0.09972222222222192,-0.011499999999999488
24,2013-01-25,95.15,-0.18500000000000227,-0.05187500000000078,-0.029500000000000172,-0.014583333333334872,-0.003928571428571915,0.004062499999999858,0.10111111111111033,0.13724999999999915
25,2013-01-26,95.41666666666667,0.022500000000000853,-0.19437499999999908,-0.08599999999999852,-0.06166666666666506,-0.0442857142857141,-0.031249999999999112,-0.021111111111110067,0.06875000000000035
26,2013-01-27,95.68333333333334,0.016666666666669272,0.07937499999999975,-0.10549999999999997,-0.02999999999999936,-0.01714285714285627,-0.007500000000000284,3.9474596431116675e-16,0.006000000000000583
27,2013-01-28,95.95,0.13333333333333286,0.04583333333333517,0.09016666666666637,-0.0656944444444445,-0.006666666666666187,0.0016666666666673713,0.008148148148147842,0.013333333333333641
28,2013-01-29,97.62,0.13333333333333286,0.13333333333333286,0.06333333333333471,0.09736111111111079,-0.03726190476190488,0.010833333333333695,0.01629629629629687,0.020666666666666344
